wait | CN: 待 | EN: Wait
GB_FANNAME_53 | CN: 双暗杠 | EN: Two Concealed Kongs
GB_FANNAME_54 | CN: 双箭刻 | EN: Two Dragon Pungs
GB_FANNAME_55 | CN: 全带幺 | EN: Outside Hand
GB_FANNAME_56 | CN: 不求人 | EN: Fully Concealed Hand
GB_FANNAME_57 | CN: 双明杠 | EN: Two Melded Kongs
GB_FANNAME_58 | CN: 和绝张 | EN: Last of its Kind
GB_FANNAME_59 | CN: 箭刻 | EN: Dragon Pung
GB_FANNAME_60 | CN: 圈风刻 | EN: Prevalent Wind
GB_FANNAME_61 | CN: 门风刻 | EN: Seat Wind
GB_FANNAME_62 | CN: 门前清 | EN: Concealed Hand
GB_FANNAME_63 | CN: 平和 | EN: All Chows
GB_FANNAME_64 | CN: 四归一 | EN: Tile Hog
GB_FANNAME_65 | CN: 双同刻 | EN: Double Pung
GB_FANNAME_66 | CN: 双暗刻 | EN: Two Concealed Pungs
GB_FANNAME_67 | CN: 暗杠 | EN: Concealed Kong
GB_FANNAME_68 | CN: 断幺 | EN: All Simples
GB_FANNAME_69 | CN: 一般高 | EN: Pure Double Chow
GB_FANNAME_70 | CN: 喜相逢 | EN: Mixed Double Chow
GB_FANNAME_71 | CN: 连六 | EN: Short Straight
GB_FANNAME_72 | CN: 老少副 | EN: Two Terminal Chows
GB_FANNAME_73 | CN: 幺九刻 | EN: Pung of Terminals or Honors
GB_FANNAME_74 | CN: 明杠 | EN: Melded Kong
GB_FANNAME_75 | CN: 缺一门 | EN: One Voided Suit
GB_FANNAME_76 | CN: 无字 | EN: No Honor Tiles
GB_FANNAME_77 | CN: 边张 | EN: Edge Wait
GB_FANNAME_78 | CN: 坎张 | EN: Closed Wait
GB_FANNAME_79 | CN: 单钓将 | EN: Pair Wait
GB_FANNAME_80 | CN: 自摸 | EN: Self Drawn
GB_FANNAME_81 | CN: 花牌 | EN: Flowers
GB_FANNAME_82 | CN: 明暗杠 | EN: Concealed and Melded Kong
GB_FANNAME_84 | CN: 报听 | EN: Declare Ready
GB_FANNAME_85 | CN: 二五八将 | EN: 2-5-8 Pair
GB_FANNAME_86 | CN: 天和 | EN: Blessing of Heaven
GB_FANNAME_8A | CN: 地和 | EN: Blessing of Earth
GB_FANNAME_88 | CN: 人和 | EN: Blessing of Man
GB_FANNAME_90 | CN: 荷包鼓鼓 | EN: Dots & Pouch Grass
GB_FANNAME_91 | CN: 万紫千红 | EN: Red & Purple
GB_FAN_unit | CN: 番 | EN: Points
at_least | CN: 至少 | EN: At least
winner | CN: 和牌方 | EN: Winner
other_player | CN: 未和牌方 | EN: Non-winner
loser | CN: 点炮方 | EN: Discarder
observer | CN: 陪付方 | EN: Observer
note_dealer | CN: <sub>庄</sub> | EN: <sub>Dealer</sub>
note_non_dealer | CN: <sub>闲</sub> | EN: <sub>Non-D.</sub>
GB_max_fan | CN: 封顶 | EN: Maximum
comma | CN: ， | EN: , 
JP_YAKUNAME_0 | CN: 流局满贯 | EN: Nagashi Mangan
JP_YAKUNAME_1 | CN: 立直 | EN: Riichi
JP_YAKUNAME_2 | CN: 门前清自摸和 | EN: Fully Concealed Hand
JP_YAKUNAME_3 | CN: 一发 | EN: Ippatsu
JP_YAKUNAME_4 | CN: 断幺九 | EN: All Simples
JP_YAKUNAME_5 | CN: 役牌-场风牌 | EN: Prevailing Wind Pung
JP_YAKUNAME_6 | CN: 役牌-自风牌 | EN: Seat Wind Pung
JP_YAKUNAME_7 | CN: 役牌-白 | EN: White Dragon Pung
JP_YAKUNAME_8 | CN: 役牌-发 | EN: Green Dragon Pung
JP_YAKUNAME_9 | CN: 役牌-中 | EN: Red Dragon Pung
JP_YAKUNAME_10 | CN: 平和 | EN: Pinfu
JP_YAKUNAME_11 | CN: 一杯口 | EN: Pure Double Chow
JP_YAKUNAME_12 | CN: 岭上开花 | EN: After a Kong
JP_YAKUNAME_13 | CN: 海底摸月 | EN: Under the Sea
JP_YAKUNAME_14 | CN: 河底捞鱼 | EN: Under the River
JP_YAKUNAME_15 | CN: 抢杠 | EN: Robbing the Kong
JP_YAKUNAME_16 | CN: 两立直 | EN: Double Riichi
JP_YAKUNAME_17 | CN: 七对子 | EN: Seven Pairs
JP_YAKUNAME_18 | CN: 对对和 | EN: All Pungs
JP_YAKUNAME_19 | CN: 三色同顺 | EN: Mixed Triple Chow
JP_YAKUNAME_20 | CN: 三色同刻 | EN: Triple Pung
